time,Det_Voltage,TOFHGMAX,TOFHGMIN,TOFLGMAX,TOFLGMIN,TOFMGMAX,TOFMGMIN,Target_High_Gain_Max,Target_High_Gain_Min,Target_Low_Gain_Max,Target_Low_Gain_Min
2025-342T19:55:13.960,,550.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:55:14.959,2001.4632,,,,,,,,,,
2025-342T19:55:19.959,2001.4632,,,,,,,,,,
2025-342T19:55:22.960,,528.0,498.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-342T19:55:25.959,2001.4632,,,,,,,,,,
2025-342T19:55:31.960,,529.0,500.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:55:32.959,2001.4632,,,,,,,,,,
2025-342T19:55:37.959,2001.4632,,,,,,,,,,
2025-342T19:55:40.959,,540.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:55:43.959,2001.4632,,,,,,,,,,
2025-342T19:55:49.959,,533.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:55:50.959,2001.4632,,,,,,,,,,
2025-342T19:55:55.959,2001.4632,,,,,,,,,,
2025-342T19:55:58.959,,530.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-342T19:56:01.959,2001.4632,,,,,,,,,,
2025-342T19:56:07.959,,544.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-342T19:56:08.959,2001.4632,,,,,,,,,,
2025-342T19:56:13.959,2001.4632,,,,,,,,,,
2025-342T19:56:16.959,,541.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:56:19.959,2001.4632,,,,,,,,,,
2025-342T19:56:25.959,,540.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:56:26.959,2001.4632,,,,,,,,,,
2025-342T19:56:31.959,2001.4632,,,,,,,,,,
2025-342T19:56:34.959,,533.0,500.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-342T19:56:37.959,2001.4632,,,,,,,,,,
2025-342T19:56:43.959,,543.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:56:44.959,2001.4632,,,,,,,,,,
2025-342T19:56:49.959,2001.4632,,,,,,,,,,
2025-342T19:56:52.959,,529.0,500.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:56:55.959,2001.4632,,,,,,,,,,
2025-342T19:57:01.959,,533.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:57:02.959,2001.4632,,,,,,,,,,
2025-342T19:57:07.959,2001.4632,,,,,,,,,,
2025-342T19:57:10.959,,527.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:57:13.959,2001.4632,,,,,,,,,,
2025-342T19:57:19.959,,538.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-342T19:57:20.958,2001.4632,,,,,,,,,,
2025-342T19:57:25.958,2001.4632,,,,,,,,,,
2025-342T19:57:28.959,,539.0,500.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:57:31.958,2001.4632,,,,,,,,,,
2025-342T19:57:37.959,,533.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-342T19:57:38.958,2001.4632,,,,,,,,,,
2025-342T19:57:43.958,2001.4632,,,,,,,,,,
2025-342T19:57:46.959,,534.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:57:49.958,2001.4632,,,,,,,,,,
2025-342T19:57:55.959,,536.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-342T19:57:56.958,2001.4632,,,,,,,,,,
2025-342T19:58:01.958,2001.4632,,,,,,,,,,
2025-342T19:58:04.959,,538.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-342T19:58:07.958,2001.4632,,,,,,,,,,
2025-342T19:58:13.959,,537.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-342T19:58:14.958,2001.4632,,,,,,,,,,
2025-342T19:58:19.958,2001.4632,,,,,,,,,,
2025-342T19:58:22.958,,541.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-342T19:58:25.958,2001.4632,,,,,,,,,,
2025-342T19:58:31.958,,548.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T19:58:32.958,2001.4632,,,,,,,,,,
2025-342T19:58:37.958,2001.4632,,,,,,,,,,
2025-342T19:58:40.958,,532.0,500.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-342T19:58:43.958,2001.4632,,,,,,,,,,
2025-342T19:58:49.958,,540.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-342T19:58:50.958,2001.4632,,,,,,,,,,
2025-342T19:58:55.958,2001.4632,,,,,,,,,,
