time,Det_Voltage,TOFHGMAX,TOFHGMIN,TOFLGMAX,TOFLGMIN,TOFMGMAX,TOFMGMIN,Target_High_Gain_Max,Target_High_Gain_Min,Target_Low_Gain_Max,Target_Low_Gain_Min
2025-343T00:03:04.963,,555.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:03:07.963,2023.4412,,,,,,,,,,
2025-343T00:03:13.963,,531.0,499.0,518.0,509.0,516.0,510.0,2048.0,2039.0,2066.0,2061.0
2025-343T00:03:14.963,1900.3644,,,,,,,,,,
2025-343T00:03:19.963,1824.174,,,,,,,,,,
2025-343T00:03:22.963,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:03:25.963,1800.7308,,,,,,,,,,
2025-343T00:03:31.963,,523.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:03:32.963,1944.3204,,,,,,,,,,
2025-343T00:03:37.963,2001.4632,,,,,,,,,,
2025-343T00:03:38.963,,535.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:03:43.963,,524.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:03:49.963,,534.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:03:55.963,,526.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:04:01.963,,525.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:04:02.963,2001.4632,,,,,,,,,,
2025-343T00:04:07.963,,524.0,500.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:04:13.963,,528.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:04:19.963,,532.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:04:25.963,,527.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:04:28.962,2001.4632,,,,,,,,,,
2025-343T00:04:31.962,,546.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:04:37.962,,528.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:04:43.962,,535.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:04:49.962,,530.0,500.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:04:53.962,2001.4632,,,,,,,,,,
2025-343T00:04:55.962,,527.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:05:01.962,,529.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:05:07.962,,539.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:05:13.962,,558.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:05:19.962,,530.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:05:20.962,2001.4632,,,,,,,,,,
2025-343T00:05:25.962,,526.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:05:31.962,,537.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:05:37.962,,552.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:05:43.962,,528.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:05:46.962,2001.4632,,,,,,,,,,
2025-343T00:05:49.962,,526.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:05:55.962,,533.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:06:01.962,,535.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:06:07.962,,539.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:06:11.962,2001.4632,,,,,,,,,,
2025-343T00:06:13.962,,549.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:06:19.962,,532.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:07:11.961,2001.4632,,,,,,,,,,
2025-343T00:08:11.961,2001.4632,,,,,,,,,,
2025-343T00:08:19.961,,581.0,497.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T00:09:11.961,2001.4632,,,,,,,,,,
2025-343T00:10:11.960,2001.4632,,,,,,,,,,
2025-343T00:10:19.960,,564.0,498.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:11:11.960,2001.4632,,,,,,,,,,
2025-343T00:12:11.959,2001.4632,,,,,,,,,,
2025-343T00:12:19.959,,552.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T00:13:11.959,2001.4632,,,,,,,,,,
2025-343T00:14:11.959,2001.4632,,,,,,,,,,
2025-343T00:14:19.959,,559.0,499.0,518.0,508.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:15:11.958,2001.4632,,,,,,,,,,
2025-343T00:16:11.958,2001.4632,,,,,,,,,,
2025-343T00:16:19.958,,545.0,499.0,518.0,509.0,516.0,509.0,2049.0,2040.0,2067.0,2061.0
2025-343T00:17:11.957,2001.4632,,,,,,,,,,
2025-343T00:18:11.957,2001.4632,,,,,,,,,,
2025-343T00:18:19.957,,540.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:19:11.957,2001.4632,,,,,,,,,,
2025-343T00:20:11.956,2001.4632,,,,,,,,,,
2025-343T00:20:19.956,,549.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T00:21:11.956,2001.4632,,,,,,,,,,
2025-343T00:22:11.956,2001.4632,,,,,,,,,,
2025-343T00:22:19.956,,552.0,499.0,518.0,508.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:23:11.955,2001.4632,,,,,,,,,,
2025-343T00:24:11.955,2001.4632,,,,,,,,,,
2025-343T00:24:19.955,,546.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:25:11.954,2001.4632,,,,,,,,,,
2025-343T00:26:11.954,2001.4632,,,,,,,,,,
2025-343T00:26:19.954,,584.0,498.0,518.0,509.0,516.0,509.0,2051.0,2037.0,2067.0,2061.0
2025-343T00:27:11.954,2001.4632,,,,,,,,,,
2025-343T00:28:11.953,2001.4632,,,,,,,,,,
2025-343T00:28:19.953,,559.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2060.0
2025-343T00:29:11.953,2001.4632,,,,,,,,,,
2025-343T00:30:11.952,2001.4632,,,,,,,,,,
2025-343T00:30:19.952,,562.0,499.0,518.0,508.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T00:31:11.952,2001.4632,,,,,,,,,,
2025-343T00:32:11.952,2001.4632,,,,,,,,,,
2025-343T00:32:19.952,,549.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:33:11.951,2001.4632,,,,,,,,,,
2025-343T00:34:11.951,2001.4632,,,,,,,,,,
2025-343T00:34:19.951,,572.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:35:11.950,2001.4632,,,,,,,,,,
2025-343T00:36:11.950,2001.4632,,,,,,,,,,
2025-343T00:36:19.950,,560.0,498.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T00:37:11.950,2001.4632,,,,,,,,,,
2025-343T00:38:11.949,2001.4632,,,,,,,,,,
2025-343T00:38:19.949,,549.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T00:39:11.949,2001.4632,,,,,,,,,,
2025-343T00:40:11.949,2001.4632,,,,,,,,,,
2025-343T00:40:19.949,,557.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T00:41:11.948,2001.4632,,,,,,,,,,
2025-343T00:42:11.948,2001.4632,,,,,,,,,,
2025-343T00:42:19.948,,574.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T00:43:11.947,2001.4632,,,,,,,,,,
2025-343T00:44:11.947,2001.4632,,,,,,,,,,
2025-343T00:44:19.947,,560.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:45:11.947,2001.4632,,,,,,,,,,
2025-343T00:46:11.946,2001.4632,,,,,,,,,,
2025-343T00:46:19.946,,565.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:47:11.946,2001.4632,,,,,,,,,,
2025-343T00:48:11.945,2001.4632,,,,,,,,,,
2025-343T00:48:19.945,,556.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:49:11.945,2001.4632,,,,,,,,,,
2025-343T00:50:11.945,2001.4632,,,,,,,,,,
2025-343T00:50:19.945,,563.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:51:11.944,2001.4632,,,,,,,,,,
2025-343T00:52:11.944,2001.4632,,,,,,,,,,
2025-343T00:52:19.944,,564.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T00:53:11.943,2001.4632,,,,,,,,,,
2025-343T00:54:11.943,2001.4632,,,,,,,,,,
2025-343T00:54:19.943,,560.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T00:55:11.943,2001.4632,,,,,,,,,,
2025-343T00:56:11.942,2001.4632,,,,,,,,,,
2025-343T00:56:19.942,,562.0,499.0,518.0,509.0,516.0,509.0,2051.0,2037.0,2067.0,2061.0
2025-343T00:57:11.942,2001.4632,,,,,,,,,,
2025-343T00:58:11.942,2001.4632,,,,,,,,,,
2025-343T00:58:19.942,,601.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:59:11.941,2001.4632,,,,,,,,,,
2025-343T01:00:11.941,2001.4632,,,,,,,,,,
2025-343T01:00:19.941,,567.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T01:01:11.940,2001.4632,,,,,,,,,,
2025-343T01:02:11.940,2001.4632,,,,,,,,,,
2025-343T01:02:19.940,,556.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T01:03:11.940,2001.4632,,,,,,,,,,
2025-343T01:04:11.939,2001.4632,,,,,,,,,,
2025-343T01:04:19.939,,549.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T01:05:11.939,2001.4632,,,,,,,,,,
2025-343T01:06:11.938,2001.4632,,,,,,,,,,
2025-343T01:06:19.938,,566.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T01:07:11.938,2001.4632,,,,,,,,,,
2025-343T01:08:11.938,2001.4632,,,,,,,,,,
2025-343T01:08:19.938,,548.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T01:09:11.937,2001.4632,,,,,,,,,,
2025-343T01:10:11.937,2001.4632,,,,,,,,,,
2025-343T01:10:19.937,,547.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
