Dust Event ID,UTC Timestamp,Local Timestamp,Integer Timestamp (ms),Velocity (m/s),Mass (kg),Charge (C),Radius (m) ,High Voltage (MV),Current Group ID,Current Experiment Name,Current Experiment Description,Estimate Quality,Dust Type
8543826,20231213193610.686999999,20231213123610.686999999,1702496170687,2.433200E+3,1.401557E-16,1.889460E-16,1.619729E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543833,20231213193649.989999999,20231213123649.989999999,1702496209990,7.993110E+3,1.416664E-17,2.060960E-16,7.545029E-8,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8543834,20231213193653.216999999,20231213123653.216999999,1702496213217,2.819050E+3,1.405163E-16,2.542750E-16,1.621117E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8543835,20231213193708.983000000,20231213123708.983000000,1702496228983,2.537980E+3,9.394366E-15,1.376350E-14,6.579524E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",3," Iron "
8543839,20231213193721.464999999,20231213123721.464999999,1702496241465,6.052190E+3,3.537259E-17,2.950280E-16,1.023594E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",3," Iron "
8543840,20231213193722.177000000,20231213123722.177000000,1702496242177,5.110820E+4,1.163360E-18,6.919370E-16,3.279518E-8,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8543843,20231213193730.472999999,20231213123730.472999999,1702496250473,2.812310E+3,1.554510E-16,2.799570E-16,1.676627E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543846,20231213193741.291999999,20231213123741.291999999,1702496261292,2.057240E+3,2.648005E-16,2.550450E-16,2.002373E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8543855,20231213193749.712999999,20231213123749.712999999,1702496269713,2.359100E+3,2.064920E-16,2.616780E-16,1.843061E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",3," Iron "
8543868,20231213193831.742000000,20231213123831.742000000,1702496311742,4.624950E+3,5.041867E-17,2.452960E-16,1.151956E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543872,20231213193846.199999999,20231213123846.199999999,1702496326200,9.146370E+3,1.615574E-17,3.075760E-16,7.882808E-8,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543873,20231213193846.902000000,20231213123846.902000000,1702496326902,3.081430E+3,1.272763E-16,2.750300E-16,1.568512E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543874,20231213193849.646999999,20231213123849.646999999,1702496329647,1.948650E+3,1.415612E-16,1.223320E-16,1.625125E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",3," Iron "
8543878,20231213193917.030999999,20231213123917.030999999,1702496357031,2.186910E+3,1.037775E-14,1.130150E-14,6.801525E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543885,20231213193944.898000000,20231213123944.898000000,1702496384898,1.269480E+4,2.377553E-17,8.714990E-16,8.966344E-8,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",3," Iron "
8543887,20231213193955.047999999,20231213123955.047999999,1702496395048,2.342770E+3,1.863141E-16,2.328500E-16,1.780959E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
