,Time [us],Combined TOF [pC/dt]
0,-15.603846153846154,-3.3108999999999916e-05
1,-15.6,-6.621799999999983e-05
2,-15.596153846153847,3.3108999999999916e-05
3,-15.592307692307692,0.0
4,-15.588461538461539,-3.3108999999999916e-05
5,-15.584615384615384,-3.3108999999999916e-05
6,-15.580769230769231,3.3108999999999916e-05
7,-15.576923076923077,0.0
8,-15.573076923076924,-6.621799999999983e-05
9,-15.569230769230769,-3.3108999999999916e-05
10,-15.565384615384616,0.0
11,-15.561538461538461,0.0
12,-15.557692307692308,-3.3108999999999916e-05
13,-15.553846153846154,-3.3108999999999916e-05
14,-15.55,3.3108999999999916e-05
15,-15.546153846153846,-3.3108999999999916e-05
16,-15.542307692307693,-3.3108999999999916e-05
17,-15.538461538461538,0.0
18,-15.534615384615385,0.0
19,-15.53076923076923,-3.3108999999999916e-05
20,-15.526923076923078,-3.3108999999999916e-05
21,-15.523076923076923,0.0
22,-15.51923076923077,0.0
23,-15.515384615384615,-6.621799999999983e-05
24,-15.511538461538462,0.0
25,-15.507692307692308,3.3108999999999916e-05
26,-15.503846153846155,-3.3108999999999916e-05
27,-15.5,-6.621799999999983e-05
28,-15.496153846153847,-3.3108999999999916e-05
29,-15.492307692307692,0.0
30,-15.48846153846154,-3.3108999999999916e-05
31,-15.484615384615385,-3.3108999999999916e-05
32,-15.480769230769232,3.3108999999999916e-05
33,-15.476923076923077,0.0
34,-15.473076923076924,-3.3108999999999916e-05
35,-15.46923076923077,-3.3108999999999916e-05
36,-15.465384615384616,3.3108999999999916e-05
37,-15.461538461538462,0.0
38,-15.457692307692309,0.0
39,-15.453846153846154,0.0
40,-15.450000000000001,3.3108999999999916e-05
41,-15.446153846153846,0.0
42,-15.442307692307693,-3.3108999999999916e-05
43,-15.438461538461539,0.0
44,-15.434615384615386,3.3108999999999916e-05
45,-15.430769230769231,-3.3108999999999916e-05
46,-15.426923076923078,0.0
47,-15.423076923076923,0.0
48,-15.41923076923077,0.0
49,-15.415384615384616,-6.621799999999983e-05
50,-15.411538461538463,0.0
51,-15.407692307692308,3.3108999999999916e-05
52,-15.403846153846155,-3.3108999999999916e-05
53,-15.4,-6.621799999999983e-05
54,-15.396153846153847,0.0
55,-15.392307692307693,0.0
56,-15.38846153846154,-3.3108999999999916e-05
57,-15.384615384615385,-3.3108999999999916e-05
58,-15.380769230769232,3.3108999999999916e-05
59,-15.376923076923077,0.0
60,-15.373076923076924,-6.621799999999983e-05
61,-15.36923076923077,0.0
62,-15.365384615384617,3.3108999999999916e-05
63,-15.361538461538462,0.0
64,-15.357692307692307,0.0
65,-15.353846153846154,0.0
66,-15.350000000000001,-3.3108999999999916e-05
67,-15.346153846153847,-6.621799999999983e-05
68,-15.342307692307692,0.0
69,-15.338461538461539,3.3108999999999916e-05
70,-15.334615384615384,-6.621799999999983e-05
71,-15.330769230769231,0.0
72,-15.326923076923077,3.3108999999999916e-05
73,-15.323076923076924,3.3108999999999916e-05
74,-15.319230769230769,-3.3108999999999916e-05
75,-15.315384615384616,-6.621799999999983e-05
76,-15.311538461538461,0.0
77,-15.307692307692308,-6.621799999999983e-05
78,-15.303846153846154,-3.3108999999999916e-05
79,-15.3,0.0
80,-15.296153846153846,3.3108999999999916e-05
81,-15.292307692307693,-3.3108999999999916e-05
82,-15.288461538461538,-3.3108999999999916e-05
83,-15.284615384615385,0.0
84,-15.28076923076923,-3.3108999999999916e-05
85,-15.276923076923078,-6.621799999999983e-05
86,-15.273076923076923,-3.3108999999999916e-05
87,-15.26923076923077,3.3108999999999916e-05
88,-15.265384615384615,0.0
89,-15.261538461538462,-3.3108999999999916e-05
90,-15.257692307692308,3.3108999999999916e-05
91,-15.253846153846155,0.0
92,-15.25,-6.621799999999983e-05
93,-15.246153846153847,-3.3108999999999916e-05
94,-15.242307692307692,3.3108999999999916e-05
95,-15.23846153846154,0.0
96,-15.234615384615385,-6.621799999999983e-05
97,-15.230769230769232,0.0
98,-15.226923076923077,3.3108999999999916e-05
99,-15.223076923076924,3.3108999999999916e-05
100,-15.21923076923077,-3.3108999999999916e-05
101,-15.215384615384616,-6.621799999999983e-05
102,-15.211538461538462,3.3108999999999916e-05
103,-15.207692307692309,-3.3108999999999916e-05
104,-15.203846153846154,-3.3108999999999916e-05
105,-15.200000000000001,0.0
106,-15.196153846153846,3.3108999999999916e-05
107,-15.192307692307693,-3.3108999999999916e-05
108,-15.188461538461539,-3.3108999999999916e-05
109,-15.184615384615386,3.3108999999999916e-05
110,-15.180769230769231,-3.3108999999999916e-05
111,-15.176923076923078,-6.621799999999983e-05
112,-15.173076923076923,-6.621799999999983e-05
113,-15.16923076923077,3.3108999999999916e-05
114,-15.165384615384616,0.0
115,-15.161538461538463,-3.3108999999999916e-05
116,-15.157692307692308,3.3108999999999916e-05
117,-15.153846153846155,0.0
118,-15.15,-6.621799999999983e-05
119,-15.146153846153847,-6.621799999999983e-05
120,-15.142307692307693,3.3108999999999916e-05
121,-15.13846153846154,3.3108999999999916e-05
122,-15.134615384615385,-6.621799999999983e-05
123,-15.130769230769232,3.3108999999999916e-05
124,-15.126923076923077,6.621799999999983e-05
125,-15.123076923076924,3.3108999999999916e-05
126,-15.11923076923077,-3.3108999999999916e-05
127,-15.115384615384617,0.0
128,-15.111538461538462,3.3108999999999916e-05
129,-15.107692307692307,-6.621799999999983e-05
130,-15.103846153846154,0.0
131,-15.100000000000001,3.3108999999999916e-05
132,-15.096153846153847,0.0
133,-15.092307692307692,-6.621799999999983e-05
134,-15.088461538461539,3.3108999999999916e-05
135,-15.084615384615384,3.3108999999999916e-05
136,-15.080769230769231,-3.3108999999999916e-05
137,-15.076923076923077,-6.621799999999983e-05
138,-15.073076923076924,0.0
139,-15.069230769230769,0.0
140,-15.065384615384616,-6.621799999999983e-05
141,-15.061538461538461,-3.3108999999999916e-05
142,-15.057692307692308,3.3108999999999916e-05
143,-15.053846153846154,-3.3108999999999916e-05
144,-15.05,-3.3108999999999916e-05
145,-15.046153846153846,0.0
146,-15.042307692307693,0.0
147,-15.038461538461538,-3.3108999999999916e-05
148,-15.034615384615385,-3.3108999999999916e-05
149,-15.03076923076923,0.0
150,-15.026923076923078,-3.3108999999999916e-05
151,-15.023076923076923,-6.621799999999983e-05
152,-15.01923076923077,3.3108999999999916e-05
153,-15.015384615384615,3.3108999999999916e-05
154,-15.011538461538462,-6.621799999999983e-05
155,-15.007692307692308,-3.3108999999999916e-05
156,-15.003846153846155,3.3108999999999916e-05
157,-15.0,0.0
158,-14.996153846153847,-3.3108999999999916e-05
159,-14.992307692307692,-3.3108999999999916e-05
160,-14.98846153846154,3.3108999999999916e-05
161,-14.984615384615385,0.0
162,-14.980769230769232,-3.3108999999999916e-05
163,-14.976923076923077,-6.621799999999983e-05
164,-14.973076923076924,3.3108999999999916e-05
165,-14.96923076923077,-3.3108999999999916e-05
166,-14.965384615384616,-3.3108999999999916e-05
167,-14.961538461538462,-3.3108999999999916e-05
168,-14.957692307692309,3.3108999999999916e-05
169,-14.953846153846154,-3.3108999999999916e-05
170,-14.950000000000001,-6.621799999999983e-05
171,-14.946153846153846,-3.3108999999999916e-05
172,-14.942307692307693,0.0
173,-14.938461538461539,-3.3108999999999916e-05
174,-14.934615384615386,-3.3108999999999916e-05
175,-14.930769230769231,3.3108999999999916e-05
176,-14.926923076923078,3.3108999999999916e-05
177,-14.923076923076923,-3.3108999999999916e-05
178,-14.91923076923077,-3.3108999999999916e-05
179,-14.915384615384616,0.0
180,-14.911538461538463,0.0
181,-14.907692307692308,-6.621799999999983e-05
182,-14.903846153846155,0.0
183,-14.9,3.3108999999999916e-05
184,-14.896153846153847,0.0
185,-14.892307692307693,-3.3108999999999916e-05
186,-14.88846153846154,0.0
187,-14.884615384615385,3.3108999999999916e-05
188,-14.880769230769232,-3.3108999999999916e-05
189,-14.876923076923077,-6.621799999999983e-05
190,-14.873076923076923,3.3108999999999916e-05
191,-14.86923076923077,0.0
192,-14.865384615384617,-6.621799999999983e-05
193,-14.861538461538462,-3.3108999999999916e-05
194,-14.857692307692307,0.0
195,-14.853846153846154,-3.3108999999999916e-05
196,-14.850000000000001,-6.621799999999983e-05
197,-14.846153846153847,0.0
198,-14.842307692307692,0.0
199,-14.838461538461539,-6.621799999999983e-05
200,-14.834615384615384,-3.3108999999999916e-05
201,-14.830769230769231,0.0
202,-14.826923076923077,-3.3108999999999916e-05
203,-14.823076923076924,-3.3108999999999916e-05
204,-14.819230769230769,0.0
205,-14.815384615384616,3.3108999999999916e-05
206,-14.811538461538461,-3.3108999999999916e-05
207,-14.807692307692308,0.0
208,-14.803846153846154,3.3108999999999916e-05
209,-14.8,0.0
210,-14.796153846153846,-3.3108999999999916e-05
211,-14.792307692307693,0.0
212,-14.788461538461538,0.0
213,-14.784615384615385,-6.621799999999983e-05
214,-14.78076923076923,3.3108999999999916e-05
215,-14.776923076923078,0.0
216,-14.773076923076923,3.3108999999999916e-05
217,-14.76923076923077,-6.621799999999983e-05
218,-14.765384615384615,-3.3108999999999916e-05
219,-14.761538461538462,0.0
220,-14.757692307692308,-3.3108999999999916e-05
221,-14.753846153846155,-6.621799999999983e-05
222,-14.75,0.0
223,-14.746153846153847,0.0
224,-14.742307692307692,-3.3108999999999916e-05
225,-14.73846153846154,-6.621799999999983e-05
226,-14.734615384615385,3.3108999999999916e-05
227,-14.730769230769232,-3.3108999999999916e-05
228,-14.726923076923077,-6.621799999999983e-05
229,-14.723076923076924,-6.621799999999983e-05
230,-14.71923076923077,3.3108999999999916e-05
231,-14.715384615384616,0.0
232,-14.711538461538462,-3.3108999999999916e-05
233,-14.707692307692309,0.0
234,-14.703846153846154,3.3108999999999916e-05
235,-14.700000000000001,-3.3108999999999916e-05
236,-14.696153846153846,-6.621799999999983e-05
237,-14.692307692307693,0.0
238,-14.688461538461539,3.3108999999999916e-05
239,-14.684615384615386,-3.3108999999999916e-05
240,-14.680769230769231,0.0
241,-14.676923076923078,0.0
242,-14.673076923076923,0.0
243,-14.66923076923077,-6.621799999999983e-05
244,-14.665384615384616,-6.621799999999983e-05
245,-14.661538461538463,0.0
246,-14.657692307692308,0.0
247,-14.653846153846155,-6.621799999999983e-05
248,-14.65,0.0
249,-14.646153846153847,0.0
250,-14.642307692307693,0.0
251,-14.63846153846154,-3.3108999999999916e-05
252,-14.634615384615385,0.0
253,-14.630769230769232,-3.3108999999999916e-05
254,-14.626923076923077,-3.3108999999999916e-05
255,-14.623076923076923,-6.621799999999983e-05
256,-14.61923076923077,0.0
257,-14.615384615384617,0.0
258,-14.611538461538462,-3.3108999999999916e-05
259,-14.607692307692307,3.3108999999999916e-05
260,-14.603846153846154,0.0
261,-14.600000000000001,0.0
262,-14.596153846153847,-3.3108999999999916e-05
263,-14.592307692307692,0.0
264,-14.588461538461539,0.0
265,-14.584615384615384,-3.3108999999999916e-05
266,-14.580769230769231,3.3108999999999916e-05
267,-14.576923076923077,3.3108999999999916e-05
268,-14.573076923076924,0.0
269,-14.569230769230769,-6.621799999999983e-05
270,-14.565384615384616,0.0
271,-14.561538461538461,3.3108999999999916e-05
272,-14.557692307692308,-3.3108999999999916e-05
273,-14.553846153846154,0.0
274,-14.55,3.3108999999999916e-05
275,-14.546153846153846,0.0
276,-14.542307692307693,-3.3108999999999916e-05
277,-14.538461538461538,-3.3108999999999916e-05
278,-14.534615384615385,3.3108999999999916e-05
279,-14.53076923076923,-3.3108999999999916e-05
280,-14.526923076923078,-3.3108999999999916e-05
281,-14.523076923076923,0.0
282,-14.51923076923077,0.0
283,-14.515384615384615,-3.3108999999999916e-05
284,-14.511538461538462,-3.3108999999999916e-05
285,-14.507692307692308,0.0
286,-14.503846153846155,-6.621799999999983e-05
287,-14.5,-6.621799999999983e-05
288,-14.496153846153847,0.0
289,-14.492307692307692,3.3108999999999916e-05
290,-14.48846153846154,-3.3108999999999916e-05
291,-14.484615384615385,-3.3108999999999916e-05
292,-14.480769230769232,3.3108999999999916e-05
293,-14.476923076923077,0.0
294,-14.473076923076924,-6.621799999999983e-05
295,-14.46923076923077,-3.3108999999999916e-05
296,-14.465384615384616,3.3108999999999916e-05
297,-14.461538461538462,0.0
298,-14.457692307692309,-3.3108999999999916e-05
299,-14.453846153846154,0.0
300,-14.450000000000001,3.3108999999999916e-05
301,-14.446153846153846,-3.3108999999999916e-05
302,-14.442307692307693,-3.3108999999999916e-05
303,-14.438461538461539,3.3108999999999916e-05
304,-14.434615384615386,3.3108999999999916e-05
305,-14.430769230769231,-3.3108999999999916e-05
