,Time,TOF H,TOF M,TOF L
0,-15.603846153846154,0.031808565310492504,0.016951808,0.262654
1,-15.6,0.031746680942184156,0.016918699,0.263682
2,-15.596153846153847,0.03162291220556745,0.017018026,0.263682
3,-15.592307692307692,0.0315610278372591,0.016984917,0.264196
4,-15.588461538461539,0.031746680942184156,0.016951808,0.264196
5,-15.584615384615384,0.03187044967880086,0.016951808,0.262654
6,-15.580769230769231,0.0314372591006424,0.017018026,0.263168
7,-15.576923076923077,0.031375374732334045,0.016984917,0.26214000000000004
8,-15.573076923076924,0.03162291220556745,0.016918699,0.265224
9,-15.569230769230769,0.03187044967880086,0.016951808,0.262654
10,-15.565384615384616,0.03131349036402569,0.016984917,0.265224
11,-15.561538461538461,0.03149914346895075,0.016984917,0.262654
12,-15.557692307692308,0.03199421841541756,0.016951808,0.265224
13,-15.553846153846154,0.03187044967880086,0.016951808,0.262654
14,-15.55,0.03162291220556745,0.017018026,0.26471
15,-15.546153846153846,0.0315610278372591,0.016951808,0.263682
16,-15.542307692307693,0.031808565310492504,0.016951808,0.264196
17,-15.538461538461538,0.031746680942184156,0.016984917,0.263682
18,-15.534615384615385,0.03162291220556745,0.016984917,0.264196
19,-15.53076923076923,0.031808565310492504,0.016951808,0.263682
20,-15.526923076923078,0.031932334047109205,0.016951808,0.263168
21,-15.523076923076923,0.031746680942184156,0.016984917,0.26471
22,-15.51923076923077,0.031251605995717344,0.016984917,0.262654
23,-15.515384615384615,0.03162291220556745,0.016918699,0.26471
24,-15.511538461538462,0.031808565310492504,0.016984917,0.262654
25,-15.507692307692308,0.0316847965738758,0.017018026,0.265224
26,-15.503846153846155,0.03131349036402569,0.016951808,0.26214000000000004
27,-15.5,0.0314372591006424,0.016918699,0.264196
28,-15.496153846153847,0.0316847965738758,0.016951808,0.263682
29,-15.492307692307692,0.0316847965738758,0.016984917,0.264196
30,-15.48846153846154,0.03149914346895075,0.016951808,0.263682
31,-15.484615384615385,0.0314372591006424,0.016951808,0.263168
32,-15.480769230769232,0.031746680942184156,0.017018026,0.262654
33,-15.476923076923077,0.0315610278372591,0.016984917,0.263168
34,-15.473076923076924,0.031251605995717344,0.016951808,0.264196
35,-15.46923076923077,0.03149914346895075,0.016951808,0.262654
36,-15.465384615384616,0.031808565310492504,0.017018026,0.26471
37,-15.461538461538462,0.031746680942184156,0.016984917,0.262654
38,-15.457692307692309,0.03162291220556745,0.016984917,0.26471
39,-15.453846153846154,0.03199421841541756,0.016984917,0.262654
40,-15.450000000000001,0.031746680942184156,0.017018026,0.26471
41,-15.446153846153846,0.03162291220556745,0.016984917,0.263168
42,-15.442307692307693,0.0315610278372591,0.016951808,0.26471
43,-15.438461538461539,0.0316847965738758,0.016984917,0.263682
44,-15.434615384615386,0.0316847965738758,0.017018026,0.264196
