eventnum,SCI0Time32_seconds,utc_datetime
imap_idex_l0_raw_20251209_v002/129,502854840,2025-12-08T01:54:00.477079Z
imap_idex_l0_raw_20251209_v002/13,502302354,2025-12-01T16:25:54.355352Z
imap_idex_l0_raw_20251209_v002/130,502855162,2025-12-08T01:59:22.205980Z
imap_idex_l0_raw_20251209_v002/131,502855343,2025-12-08T02:02:23.588933Z
imap_idex_l0_raw_20251209_v002/132,502857912,2025-12-08T02:45:12.431108Z
imap_idex_l0_raw_20251209_v002/133,502858248,2025-12-08T02:50:48.183802Z
imap_idex_l0_raw_20251209_v002/134,502863445,2025-12-08T04:17:25.685039Z
imap_idex_l0_raw_20251209_v002/135,502863773,2025-12-08T04:22:53.744152Z
imap_idex_l0_raw_20251209_v002/136,502863785,2025-12-08T04:23:05.446565Z
imap_idex_l0_raw_20251209_v002/137,502865495,2025-12-08T04:51:35.200626Z
imap_idex_l0_raw_20251209_v002/138,502865621,2025-12-08T04:53:41.909627Z
imap_idex_l0_raw_20251209_v002/139,502866305,2025-12-08T05:05:05.133291Z
imap_idex_l0_raw_20251209_v002/14,502336024,2025-12-02T01:47:04.882341Z
imap_idex_l0_raw_20251209_v002/140,502866424,2025-12-08T05:07:04.260994Z
imap_idex_l0_raw_20251209_v002/141,502868980,2025-12-08T05:49:40.675952Z
imap_idex_l0_raw_20251209_v002/142,502872611,2025-12-08T06:50:11.189394Z
imap_idex_l0_raw_20251209_v002/143,502872734,2025-12-08T06:52:14.825932Z
imap_idex_l0_raw_20251209_v002/144,502875377,2025-12-08T07:36:17.449592Z
imap_idex_l0_raw_20251209_v002/145,502879648,2025-12-08T08:47:28.124976Z
imap_idex_l0_raw_20251209_v002/146,502885570,2025-12-08T10:26:10.537930Z
imap_idex_l0_raw_20251209_v002/147,502886345,2025-12-08T10:39:05.379082Z
imap_idex_l0_raw_20251209_v002/148,502887018,2025-12-08T10:50:18.436752Z
imap_idex_l0_raw_20251209_v002/149,502892495,2025-12-08T12:21:35.912456Z
imap_idex_l0_raw_20251209_v002/15,502419941,2025-12-03T01:05:41.791418Z
imap_idex_l0_raw_20251209_v002/150,502893099,2025-12-08T12:31:39.715535Z
imap_idex_l0_raw_20251209_v002/151,502895002,2025-12-08T13:03:22.441101Z
imap_idex_l0_raw_20251209_v002/152,502897208,2025-12-08T13:40:08.651179Z
imap_idex_l0_raw_20251209_v002/16,502433239,2025-12-03T04:47:19.452435Z
imap_idex_l0_raw_20251209_v002/17,502449388,2025-12-03T09:16:28.127738Z
imap_idex_l0_raw_20251209_v002/18,502459207,2025-12-03T12:00:07.943681Z
imap_idex_l0_raw_20251209_v002/19,502462239,2025-12-03T12:50:39.242243Z
imap_idex_l0_raw_20251209_v002/2,502934527,2025-12-09T00:02:07.957100Z
imap_idex_l0_raw_20251209_v002/20,502465200,2025-12-03T13:40:00.294032Z
imap_idex_l0_raw_20251209_v002/21,502477665,2025-12-03T17:07:45.712375Z
imap_idex_l0_raw_20251209_v002/22,502489573,2025-12-03T20:26:13.181779Z
imap_idex_l0_raw_20251209_v002/23,502500436,2025-12-03T23:27:16.986645Z
imap_idex_l0_raw_20251209_v002/24,502505441,2025-12-04T00:50:41.753312Z
imap_idex_l0_raw_20251209_v002/25,502528457,2025-12-04T07:14:17.305110Z
imap_idex_l0_raw_20251209_v002/26,502552258,2025-12-04T13:50:58.208000Z
imap_idex_l0_raw_20251209_v002/27,502553916,2025-12-04T14:18:36.852027Z
imap_idex_l0_raw_20251209_v002/28,502556645,2025-12-04T15:04:05.929350Z
imap_idex_l0_raw_20251209_v002/29,502561503,2025-12-04T16:25:03.780164Z
imap_idex_l0_raw_20251209_v002/3,502934535,2025-12-09T00:02:15.488242Z
imap_idex_l0_raw_20251209_v002/30,502561852,2025-12-04T16:30:52.615313Z
imap_idex_l0_raw_20251209_v002/31,502570528,2025-12-04T18:55:28.601986Z
imap_idex_l0_raw_20251209_v002/32,502571647,2025-12-04T19:14:07.804733Z
imap_idex_l0_raw_20251209_v002/33,502574188,2025-12-04T19:56:28.298303Z
imap_idex_l0_raw_20251209_v002/34,502585726,2025-12-04T23:08:46.694379Z
imap_idex_l0_raw_20251209_v002/35,502586799,2025-12-04T23:26:39.248048Z
imap_idex_l0_raw_20251209_v002/36,502591890,2025-12-05T00:51:30.549815Z
imap_idex_l0_raw_20251209_v002/37,502592227,2025-12-05T00:57:07.312042Z
imap_idex_l0_raw_20251209_v002/38,502595942,2025-12-05T01:59:02.249537Z
imap_idex_l0_raw_20251209_v002/39,502596124,2025-12-05T02:02:04.599756Z
imap_idex_l0_raw_20251209_v002/4,502934543,2025-12-09T00:02:23.683806Z
imap_idex_l0_raw_20251209_v002/40,502598020,2025-12-05T02:33:40.208090Z
imap_idex_l0_raw_20251209_v002/41,502598406,2025-12-05T02:40:06.128358Z
imap_idex_l0_raw_20251209_v002/42,502603208,2025-12-05T04:00:08.653259Z
imap_idex_l0_raw_20251209_v002/43,502604672,2025-12-05T04:24:32.604446Z
imap_idex_l0_raw_20251209_v002/44,502607828,2025-12-05T05:17:08.669960Z
imap_idex_l0_raw_20251209_v002/45,502608471,2025-12-05T05:27:51.835131Z
imap_idex_l0_raw_20251209_v002/46,502608966,2025-12-05T05:36:06.488802Z
imap_idex_l0_raw_20251209_v002/47,502624196,2025-12-05T09:49:56.822163Z
imap_idex_l0_raw_20251209_v002/48,502624611,2025-12-05T09:56:51.184533Z
imap_idex_l0_raw_20251209_v002/49,502625976,2025-12-05T10:19:36.274974Z
imap_idex_l0_raw_20251209_v002/5,502934551,2025-12-09T00:02:31.131706Z
imap_idex_l0_raw_20251209_v002/50,502626117,2025-12-05T10:21:57.229634Z
imap_idex_l0_raw_20251209_v002/51,502631269,2025-12-05T11:47:49.158861Z
imap_idex_l0_raw_20251209_v002/52,502660139,2025-12-05T19:48:59.435812Z
imap_idex_l0_raw_20251209_v002/53,502667083,2025-12-05T21:44:43.359379Z
imap_idex_l0_raw_20251209_v002/54,502677281,2025-12-06T00:34:41.474724Z
imap_idex_l0_raw_20251209_v002/55,502682624,2025-12-06T02:03:44.929161Z
imap_idex_l0_raw_20251209_v002/56,502687437,2025-12-06T03:23:57.400738Z
imap_idex_l0_raw_20251209_v002/57,502690849,2025-12-06T04:20:49.459686Z
imap_idex_l0_raw_20251209_v002/58,502705916,2025-12-06T08:31:56.526097Z
imap_idex_l0_raw_20251209_v002/59,502706938,2025-12-06T08:48:58.466438Z
imap_idex_l0_raw_20251209_v002/6,502934559,2025-12-09T00:02:39.438729Z
imap_idex_l0_raw_20251209_v002/60,502715273,2025-12-06T11:07:53.104504Z
imap_idex_l0_raw_20251209_v002/61,502719069,2025-12-06T12:11:09.515511Z
imap_idex_l0_raw_20251209_v002/62,502723672,2025-12-06T13:27:52.233816Z
imap_idex_l0_raw_20251209_v002/63,502725721,2025-12-06T14:02:01.127252Z
imap_idex_l0_raw_20251209_v002/64,502736255,2025-12-06T16:57:35.234613Z
imap_idex_l0_raw_20251209_v002/65,502762339,2025-12-07T00:12:19.306670Z
imap_idex_l0_raw_20251209_v002/66,502762668,2025-12-07T00:17:48.439304Z
imap_idex_l0_raw_20251209_v002/67,502763204,2025-12-07T00:26:44.566376Z
imap_idex_l0_raw_20251209_v002/68,502767315,2025-12-07T01:35:15.472001Z
imap_idex_l0_raw_20251209_v002/69,502770928,2025-12-07T02:35:28.382977Z
imap_idex_l0_raw_20251209_v002/7,502934573,2025-12-09T00:02:53.709667Z
imap_idex_l0_raw_20251209_v002/70,502772277,2025-12-07T02:57:57.881530Z
imap_idex_l0_raw_20251209_v002/71,502773632,2025-12-07T03:20:32.281141Z
