eventnum,SCI0Time32
imap_idex_l0_raw_20251209_v002.h5/28,502556645
imap_idex_l0_raw_20251209_v002.h5/29,502561503
imap_idex_l0_raw_20251209_v002.h5/3,502934535
imap_idex_l0_raw_20251209_v002.h5/30,502561852
imap_idex_l0_raw_20251209_v002.h5/31,502570528
imap_idex_l0_raw_20251209_v002.h5/32,502571647
imap_idex_l0_raw_20251209_v002.h5/33,502574188
imap_idex_l0_raw_20251209_v002.h5/34,502585726
imap_idex_l0_raw_20251209_v002.h5/35,502586799
imap_idex_l0_raw_20251209_v002.h5/36,502591890
imap_idex_l0_raw_20251209_v002.h5/37,502592227
imap_idex_l0_raw_20251209_v002.h5/38,502595942
imap_idex_l0_raw_20251209_v002.h5/39,502596124
imap_idex_l0_raw_20251209_v002.h5/4,502934543
imap_idex_l0_raw_20251209_v002.h5/40,502598020
imap_idex_l0_raw_20251209_v002.h5/41,502598406
imap_idex_l0_raw_20251209_v002.h5/42,502603208
imap_idex_l0_raw_20251209_v002.h5/43,502604672
imap_idex_l0_raw_20251209_v002.h5/44,502607828
imap_idex_l0_raw_20251209_v002.h5/45,502608471
imap_idex_l0_raw_20251209_v002.h5/46,502608966
imap_idex_l0_raw_20251209_v002.h5/47,502624196
imap_idex_l0_raw_20251209_v002.h5/48,502624611
imap_idex_l0_raw_20251209_v002.h5/49,502625976
imap_idex_l0_raw_20251209_v002.h5/5,502934551
imap_idex_l0_raw_20251209_v002.h5/50,502626117
imap_idex_l0_raw_20251209_v002.h5/51,502631269
imap_idex_l0_raw_20251209_v002.h5/52,502660139
imap_idex_l0_raw_20251209_v002.h5/53,502667083
imap_idex_l0_raw_20251209_v002.h5/54,502677281
imap_idex_l0_raw_20251209_v002.h5/55,502682624
imap_idex_l0_raw_20251209_v002.h5/56,502687437
imap_idex_l0_raw_20251209_v002.h5/57,502690849
imap_idex_l0_raw_20251209_v002.h5/58,502705916
imap_idex_l0_raw_20251209_v002.h5/59,502706938
imap_idex_l0_raw_20251209_v002.h5/6,502934559
