Dust Event ID,UTC Timestamp,Local Timestamp,Integer Timestamp (ms),Velocity (m/s),Mass (kg),Charge (C),Radius (m) ,High Voltage (MV),Current Group ID,Current Experiment Name,Current Experiment Description,Estimate Quality,Dust Type
8349380,20230725002859.996999999,20230724182859.996999999,1690244939997,1.046420E+4,1.535746E-17,3.822730E-16,7.750775E-8,2.199524E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349382,20230725002916.949999999,20230724182916.949999999,1690244956950,1.542460E+4,9.608326E-18,5.196580E-16,6.629100E-8,2.199524E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349383,20230725002925.496000000,20230724182925.496000000,1690244965496,1.997260E+4,1.914069E-18,1.737620E-16,3.871606E-8,2.197063E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349387,20230725002949.743000000,20230724182949.743000000,1690244989743,1.524280E+4,2.740476E-18,1.448240E-16,4.363624E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349391,20230725003017.449999999,20230724183017.449999999,1690245017450,1.664700E+4,2.003636E-18,1.262920E-16,3.931078E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349392,20230725003027.597999999,20230724183027.597999999,1690245027598,1.974860E+4,3.681139E-18,3.263600E-16,4.814665E-8,2.199524E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349394,20230725003040.640999999,20230724183040.640999999,1690245040641,1.622170E+4,6.223064E-18,3.724620E-16,5.735528E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349403,20230725003145.898000000,20230724183145.898000000,1690245105898,1.602390E+4,4.084508E-18,2.385400E-16,4.984465E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349404,20230725003209.523999999,20230724183209.523999999,1690245129524,1.721460E+4,2.694312E-18,1.815030E-16,4.338983E-8,2.199524E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349406,20230725003213.305000000,20230724183213.305000000,1690245133305,1.343530E+4,1.434524E-17,5.892920E-16,7.576604E-8,2.197063E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349407,20230725003214.709999999,20230724183214.709999999,1690245134710,2.466380E+4,3.776011E-18,5.221500E-16,4.855676E-8,2.199524E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349408,20230725003217.453999999,20230724183217.453999999,1690245137454,1.395460E+4,5.146751E-18,2.279570E-16,5.383727E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349409,20230725003218.115999999,20230724183218.115999999,1690245138116,1.985000E+4,3.434838E-18,3.078310E-16,4.704795E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349411,20230725003233.743999999,20230724183233.743999999,1690245153744,1.610370E+4,1.832013E-18,1.080600E-16,3.815471E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349413,20230725003249.753000000,20230724183249.753000000,1690245169753,1.120300E+4,7.367180E-18,2.101900E-16,6.067444E-8,2.199524E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349418,20230725161046.047999999,20230725101046.047999999,1690301446048,2.174010E+4,5.451741E-18,5.857340E-16,5.488037E-8,2.199524E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
